,review,food_rating,delivery_rating,approval
100,"The sushi was cold, and the delivery was cold.",2,2,0
101,"The pasta was soggy, and the delivery was cold.",1,2,0
102,"The salad was amazing, and it arrived early.",5,4,1
103,"The sushi was acceptable, but the delivery was acceptable.",4,4,0
104,"I hated the burger, and the delivery was late.",1,2,1
105,"Amazing sushi, delivered on time!",5,5,1
106,"The pizza was overcooked, and the delivery was delayed.",1,2,0
107,"Terrible pasta, delivered late.",2,2,0
108,"Terrible burger, delivered cold.",2,2,0
109,"I loved the burger, and the delivery was fast.",5,5,0
110,"Terrible burger, delivered cold.",1,2,1
111,"The pizza was average, but the delivery was acceptable.",3,3,0
112,"The salad was tasty, and it arrived on time.",5,5,0
113,"The sushi was soggy, and the delivery was late.",1,1,0
114,"I hated the pizza, and the delivery was late.",1,2,0
115,"I loved the salad, and the delivery was on time.",5,4,0
116,"The pizza was soggy, and the delivery was delayed.",2,1,1
117,"I loved the pasta, and the delivery was early.",4,4,0
118,"The burger was average, but the delivery was acceptable.",3,4,1
119,"I hated the salad, and the delivery was delayed.",2,1,0
